Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
1,2,0,1,0.9479026794433594,1.0385346679294571
2,2,0,2,0.27703142166137695,1.5953753443748837
3,2,0,3,0.15103363990783691,2.1250869766706613
4,2,0,4,0.14725923538208008,2.55889500841159
5,2,0,5,0.1492171287536621,2.903356657259015
6,2,0,6,0.15080690383911133,3.1906260915317737
7,2,0,7,0.14536619186401367,3.4408558599418386
8,2,0,8,0.15310454368591309,3.6394972235009098
9,2,0,9,0.15186047554016113,3.801818992106555
10,2,0,10,0.14472603797912598,3.9719942615755968
11,2,0,11,0.1563565731048584,4.100377764825977
12,2,0,12,0.17674899101257324,4.174282748510561
13,3,0,13,0.2391493320465088,4.159358350937988
14,3,0,14,0.25792598724365234,4.124557149381509
15,3,0,15,0.22764873504638672,4.136772797564853
16,3,0,16,0.2282733917236328,4.131140920890052
17,3,0,17,0.21557354927062988,4.150020111861645
18,4,0,18,0.2825899124145508,4.096786373165596
19,3,0,19,0.2136077880859375,4.108886520693162
20,3,0,20,0.21496295928955078,4.1273564215323555
21,3,0,21,0.20286989212036133,4.155536211155424
22,3,0,22,0.2081155776977539,4.166720311537621
23,3,0,23,0.20205235481262207,4.1873937080181935
24,3,0,24,0.21417760848999023,4.19591768000777
25,3,0,25,0.21028614044189453,4.204221759129787
26,3,0,26,0.20615077018737793,4.2196023010109185
27,3,0,27,0.21643948554992676,4.222538236503841
28,3,0,28,0.20638132095336914,4.229814501256477
29,3,0,29,0.21227264404296875,4.228096698370632
30,3,0,30,0.2204735279083252,4.232708777642476
31,3,0,31,0.21981310844421387,4.232873947408789
32,3,0,32,0.2121725082397461,4.2381382694702046
33,3,0,33,0.20449233055114746,4.250045797632009
34,2,0,34,0.1468334197998047,4.288947962395117
35,1,0,35,0.08015322685241699,4.367725021132646
36,1,0,36,0.08099722862243652,4.440163761075198
37,2,0,37,0.14470434188842773,4.476851918094704
38,1,0,38,0.08061695098876953,4.547674721418332
39,2,0,39,0.1466212272644043,4.579493794967737
40,1,0,40,0.08181071281433105,4.647360411109788
41,2,0,41,0.1439800262451172,4.679582401883083
42,2,0,42,0.14293503761291504,4.710206654603143
43,2,0,43,0.16611933708190918,4.727297937548528
44,2,0,44,0.1404128074645996,4.759810362117693
45,2,0,45,0.15765619277954102,4.779213818196569
46,2,0,46,0.14463496208190918,4.804940369080755
47,2,0,47,0.14337801933288574,4.830704269447102
48,2,0,48,0.14210915565490723,4.8563026289268505
49,2,0,49,0.14352726936340332,4.880247020348158
50,2,0,50,0.14018654823303223,4.905851210632813
51,2,0,51,0.1409616470336914,4.928982576924428
52,2,0,52,0.14741039276123047,4.947150296111603
53,2,0,53,0.14087605476379395,4.972797737664281
