Frame#,Total cars,Frame#,Frame_time#,FPS
,,,,
1,2,1,0.050057411,0.41712968
,,,,
2,2,2,0.022995949,0.820711504
,,,,
3,2,3,0.021961212,1.217276646
,,,,
4,2,4,0.021903515,1.602417435
,,,,
5,2,5,0.023532391,1.975548123
,,,,
6,2,6,0.024856806,2.342999196
,,,,
7,2,7,0.025348902,2.698602441
,,,,
8,2,8,0.02493763,3.048992611
,,,,
9,2,9,0.022458553,3.393955087
,,,,
10,2,10,0.027837038,3.718900246
,,,,
11,2,11,0.043398857,3.998233535
,,,,
12,2,12,0.034850121,4.278203492
,,,,
13,3,13,0.029951096,4.566554028
,,,,
14,3,14,0.035898685,4.828882248
,,,,
15,3,15,0.024958611,5.109113198
,,,,
16,3,16,0.023935556,5.394742854
,,,,
17,3,17,0.025482178,5.668398777
,,,,
18,4,18,0.023158073,5.946034036
,,,,
19,3,19,0.025943041,6.205034243
,,,,
20,3,20,0.020708323,6.475159013
,,,,
21,3,21,0.020948172,6.73361498
,,,,
22,3,22,0.03881979,6.943028972
,,,,
23,3,23,0.026162624,7.183478854
,,,,
24,3,24,0.021941423,7.433287469
,,,,
25,3,25,0.023935556,7.659924303
,,,,
26,3,26,0.02491951,7.889308246
,,,,
27,3,27,0.019461393,8.132412898
,,,,
28,3,28,0.03789854,8.307300886
,,,,
29,3,29,0.026409864,8.5146006
,,,,
30,3,30,0.027886868,8.724534571
,,,,
31,3,31,0.036509752,8.875149417
,,,,
32,3,32,0.029218912,9.059156578
,,,,
33,3,33,0.037859917,9.195316456
,,,,
34,2,34,0.029087305,9.374020472
,,,,
35,1,35,0.033908606,9.511716109
,,,,
36,1,36,0.021099567,9.703535123
,,,,
37,2,37,0.021912336,9.887627987
,,,,
38,1,38,0.024932146,10.05880604
,,,,
39,2,39,0.02394104,10.24294059
,,,,
40,1,40,0.030916214,10.39924736
,,,,
41,2,41,0.036899567,10.51878835
,,,,
42,2,42,0.025930166,10.67970147
,,,,
43,2,43,0.032912254,10.82961475
,,,,
44,2,44,0.024944544,10.97578581
,,,,
45,2,45,0.026932478,11.13279561
,,,,
46,2,46,0.021955013,11.30486373
,,,,
47,2,47,0.028920889,11.43945455
,,,,
48,2,48,0.038145542,11.52673856
,,,,
49,2,49,0.027947664,11.66572486
,,,,
50,2,50,0.030963659,11.76233306
,,,,
51,2,51,0.036906481,11.84769099
,,,,
52,2,52,0.037895918,11.94430361
,,,,
53,2,53,0.020913839,12.09673399
,,,,
54,2,54,0.025928974,12.22333015
,,,,
55,2,55,0.022945166,12.37028922
,,,,
56,2,56,0.026933432,12.50065324
,,,,
57,2,57,0.034907579,12.56996361
,,,,
58,2,58,0.024534225,12.69128419
,,,,
59,2,59,0.02714467,12.8147913
,,,,
60,2,60,0.023934603,12.95341197
,,,,
61,2,61,0.029807329,13.06832308
,,,,
62,2,62,0.031916142,13.14493537
,,,,
63,1,63,0.031914949,13.22550662
,,,,
64,2,64,0.032912254,13.30175571
,,,,
65,2,65,0.024932861,13.39969275
,,,,
66,1,66,0.022938967,13.52241695
,,,,
67,1,67,0.026927233,13.62972051
,,,,
68,1,68,0.022933245,13.75778717
,,,,
69,2,69,0.03093195,13.8503099
,,,,
70,1,70,0.039144278,13.89663035
,,,,
71,1,71,0.020938396,14.01592549
,,,,
72,1,72,0.025943995,14.11653402
,,,,
73,1,73,0.023076534,14.23134927
,,,,
74,1,74,0.027937889,14.32451785
,,,,
75,1,75,0.03771472,14.3577577
,,,,
76,1,76,0.020935774,14.46827698
,,,,
77,1,77,0.022942781,14.56662705
,,,,
78,1,78,0.020948648,14.67454618
,,,,
79,1,79,0.02194643,14.77249889
,,,,
80,1,80,0.033905029,14.83759053
,,,,
81,1,81,0.024937153,14.91742229
,,,,
82,1,82,0.022876978,15.02237079
,,,,
83,1,83,0.027180195,15.11028569
,,,,
84,1,84,0.022938013,15.17928932
,,,,
85,1,85,0.024932861,15.26918397
,,,,
86,1,86,0.023858309,15.3648556
,,,,
87,1,87,0.020938158,15.46475004
,,,,
88,1,88,0.038902283,15.50231609
,,,,
