Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
,,,,,
1,2,0,1,1.035233498,0.292047572
,,,,,
2,2,0,2,0.168435097,0.553936334
,,,,,
3,2,0,3,0.149682045,0.796672932
,,,,,
4,2,0,4,0.139971733,1.022491413
,,,,,
5,2,0,5,0.277170181,1.188947142
,,,,,
6,2,0,6,0.14674449,1.372835441
,,,,,
7,2,0,7,0.149037838,1.545522547
,,,,,
8,2,0,8,0.152831078,1.705577605
,,,,,
9,2,0,9,0.148901701,1.852405133
,,,,,
10,2,0,10,0.155523539,1.990381658
,,,,,
11,2,0,11,0.152030945,2.118334381
,,,,,
12,2,0,12,0.153284073,2.236645424
,,,,,
13,3,0,13,0.253299475,2.306022664
,,,,,
14,3,0,14,0.224509239,2.383312405
,,,,,
15,3,0,15,0.237632275,2.451282012
,,,,,
16,3,0,16,0.243153095,2.50964502
,,,,,
17,3,0,17,0.258447647,2.560377445
,,,,,
18,4,0,18,0.308930159,2.588037512
,,,,,
19,3,0,19,0.244141579,2.632440049
,,,,,
20,3,0,20,0.248940229,2.672132695
,,,,,
21,3,0,21,0.25859046,2.705753119
,,,,,
22,3,0,22,0.210312843,2.757423763
,,,,,
23,3,0,23,0.21194768,2.804735974
,,,,,
24,3,0,24,0.208089828,2.847836312
,,,,,
25,3,0,25,0.210194588,2.890306419
,,,,,
26,3,0,26,0.208605528,2.932458998
,,,,,
27,3,0,27,0.217950106,2.968545497
,,,,,
28,3,0,28,0.214290142,3.002325079
,,,,,
29,3,0,29,0.262973785,3.00819315
,,,,,
30,3,0,30,0.220587492,3.037330386
,,,,,
31,3,0,31,0.251549721,3.056443589
,,,,,
32,3,0,32,0.243957996,3.076847222
,,,,,
33,3,0,33,0.234246016,3.101441669
,,,,,
34,2,0,34,0.167263031,3.1415729
,,,,,
35,1,0,35,0.083843231,3.207699144
,,,,,
36,1,0,36,0.094507217,3.267908141
,,,,,
37,2,0,37,0.160850763,3.305902693
,,,,,
38,1,0,38,0.084173441,3.367228286
,,,,,
39,2,0,39,0.142596245,3.409270938
,,,,,
40,1,0,40,0.084615946,3.467155075
,,,,,
41,2,0,41,0.147647619,3.506285519
,,,,,
42,2,0,42,0.145816088,3.545794697
,,,,,
43,2,0,43,0.141705036,3.584196774
,,,,,
44,2,0,44,0.141031504,3.620759557
,,,,,
45,2,0,45,0.15191865,3.653051281
,,,,,
46,2,0,46,0.14511013,3.689564163
,,,,,
47,2,0,47,0.154216051,3.720494161
,,,,,
48,2,0,48,0.146435499,3.754940662
,,,,,
49,2,0,49,0.147306204,3.786349562
,,,,,
50,2,0,50,0.142365456,3.81868591
,,,,,
51,2,0,51,0.143825054,3.848310479
,,,,,
52,2,0,52,0.149659395,3.876009458
,,,,,
53,2,0,53,0.144273043,3.907089982
,,,,,
54,2,0,54,0.144021749,3.934800552
,,,,,
55,2,0,55,0.145236492,3.961618074
,,,,,
56,2,0,56,0.146150112,3.988640236
,,,,,
57,2,0,57,0.144233465,4.01586226
,,,,,
58,2,0,58,0.145774841,4.041137436
,,,,,
59,2,0,59,0.15394783,4.064092875
,,,,,
60,2,0,60,0.143966436,4.087124474
,,,,,
61,2,0,61,0.146267176,4.110657709
,,,,,
62,2,0,62,0.146821976,4.134246731
,,,,,
63,1,0,63,0.084371328,4.174675405
,,,,,
64,2,0,64,0.139310122,4.199616055
,,,,,
65,2,0,65,0.147165775,4.219544471
,,,,,
66,1,0,66,0.087469816,4.257416065
,,,,,
67,1,0,67,0.084479332,4.296436779
,,,,,
68,1,0,68,0.087170839,4.334124777
,,,,,
69,2,0,69,0.142069578,4.356311106
,,,,,
