Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
1,1,1,1,1.3803861141204834,0.24517447833323835
2,1,1,2,0.27226734161376953,0.45913896447147046
3,1,1,3,0.1845076084136963,0.6598527725652034
4,1,1,4,0.20578241348266602,0.841000515561718
5,2,0,5,0.3736119270324707,0.9737407153099948
6,2,0,6,0.24684953689575195,1.1138598847767052
7,2,0,7,0.2523200511932373,1.2402581652014983
8,2,0,8,0.19547748565673828,1.3688197689721102
9,1,1,9,0.19447565078735352,1.4878728586427732
10,1,1,10,0.224074125289917,1.5931260340657372
11,1,1,11,0.18853974342346191,1.700286942702928
12,1,1,12,0.21343326568603516,1.7945487579654784
13,2,1,13,0.24759316444396973,1.8707501475902604
14,3,0,14,0.29694390296936035,1.9306291032059777
15,3,0,15,0.22464227676391602,2.005297157857465
16,3,0,16,0.27708005905151367,2.0609915173914573
17,3,0,17,0.25033116340637207,2.120078781362689
18,4,0,18,0.35904383659362793,2.1473026103484565
19,3,0,19,0.32254981994628906,2.1811141618537846
20,3,0,20,0.28324246406555176,2.2226227787538066
21,3,0,21,0.2826545238494873,2.26170672709225
22,3,0,22,0.23137688636779785,2.3101005322099075
23,3,0,23,0.21593832969665527,2.3603507625050044
24,3,0,24,0.23394989967346191,2.4042671789487673
25,3,0,25,0.26987481117248535,2.4373231470759915
26,3,0,26,0.31424427032470703,2.458298616999547
27,3,0,27,0.25531816482543945,2.4915278177340063
28,3,0,28,0.2835047245025635,2.514421344655031
29,3,0,29,0.28324317932128906,2.5387386197506254
30,3,0,30,0.2907724380493164,2.560209340033724
31,3,0,31,0.22199654579162598,2.5954586737587375
32,3,0,32,0.2705652713775635,2.618980306893803
33,3,0,33,0.2632927894592285,2.6427805530713755
34,2,0,34,0.1722736358642578,2.6847528383457693
35,1,0,35,0.09872841835021973,2.741049871672559
36,1,0,36,0.13109350204467773,2.7896216392616884
37,2,0,37,0.21143412590026855,2.8198217988998517
38,1,0,38,0.09155583381652832,2.8750980299451254
39,2,0,39,0.1731715202331543,2.911713216804063
40,1,0,40,0.10671544075012207,2.961892565840707
41,1,1,41,0.1940021514892578,2.992073842636751
42,2,0,42,0.21442890167236328,3.0167465694589852
43,2,0,43,0.17500019073486328,3.048929728127304
44,2,0,44,0.20946431159973145,3.073106051491644
45,2,0,45,0.15650558471679688,3.108098203251596
46,2,0,46,0.21301698684692383,3.130248140383767
47,2,0,47,0.1657717227935791,3.161772194367132
48,2,0,48,0.18945097923278809,3.1873440556855672
49,2,0,49,0.1527097225189209,3.2202394110334396
50,2,0,50,0.159271240234375,3.2508586558728
51,2,0,51,0.15486502647399902,3.281973280769269
52,2,0,52,0.18001723289489746,3.3071580814584456
53,2,0,53,0.18849587440490723,3.3297832619226315
54,2,0,54,0.19878125190734863,3.349919307133622
55,2,0,55,0.186112642288208,3.3715675809631303
56,2,0,56,0.18949556350708008,3.3926293253740933
57,2,0,57,0.19148802757263184,3.4127961371897197
58,1,1,58,0.1551806926727295,3.43988502307966
59,2,0,59,0.16482830047607422,3.464499150535008
60,1,1,60,0.16606616973876953,3.488385380815665
61,2,0,61,0.22849249839782715,3.4994282181265133
62,2,0,62,0.2778029441833496,3.4998172078697247
63,1,0,63,0.11079287528991699,3.5327775525533465
64,2,0,64,0.20609593391418457,3.5466743855220515
65,2,0,65,0.17177820205688477,3.567048320980255
66,1,0,66,0.09866762161254883,3.6016225720711086
67,1,0,67,0.08627629280090332,3.638271241726322
68,1,0,68,0.08769655227661133,3.6742664779149807
69,2,0,69,0.1667788028717041,3.694212745477328
70,1,0,70,0.09880805015563965,3.7272383333315138
71,1,0,71,0.1047213077545166,3.7587276096798594
72,1,0,72,0.11070585250854492,3.788464527067629
73,1,0,73,0.09486865997314453,3.820607120324754
74,1,0,74,0.09179115295410156,3.853419521660915
75,1,0,75,0.09275531768798828,3.8859161407070335
76,0,1,76,0.11370205879211426,3.9134610102021616
77,0,1,77,0.12067818641662598,3.9396643570887617
78,0,1,78,0.12024521827697754,3.9656217446923114
79,1,0,79,0.11350059509277344,3.9924112501239684
80,1,0,80,0.10971212387084961,4.019849708147741
81,1,0,81,0.11668920516967773,4.0453654794850955
82,1,0,82,0.11472105979919434,4.070970233332798
83,0,1,83,0.12221670150756836,4.094757581789825
84,1,0,84,0.2862114906311035,4.085599523515786
85,0,1,85,0.12679553031921387,4.106719367953171
86,0,1,86,0.11368942260742188,4.13134404613671
87,1,0,87,0.1047213077545166,4.1576704313045685
88,1,0,88,0.10970687866210938,4.18273322901887
89,1,0,89,0.10870885848999023,4.2077247034138585
90,0,1,90,0.11968135833740234,4.2302688053231225
91,1,0,91,0.12765884399414062,4.250769493618377
92,1,0,92,0.12819790840148926,4.270910863936996
93,0,1,93,0.12058115005493164,4.292510595996749
94,0,1,94,0.12765789031982422,4.312462773227895
95,1,0,95,0.12167477607727051,4.333160445770213
96,0,1,96,0.11968207359313965,4.354013995559947
97,0,1,97,0.12067747116088867,4.374436908059015
98,0,1,98,0.14162254333496094,4.390505615724231
99,0,1,99,0.12865543365478516,4.409105136176891
100,0,1,100,0.12865686416625977,4.427290330747184
101,0,1,101,0.117767333984375,4.447392514387253
102,0,1,102,0.12152218818664551,4.4667247238516365
103,0,1,103,0.1106729507446289,4.4879748989481
104,0,1,104,0.10372233390808105,4.510378906883364
105,1,0,105,0.10967302322387695,4.531404083079783
106,0,1,106,0.13190078735351562,4.547888982120609
107,0,1,107,0.1226356029510498,4.565791194352152
